Exercício: 2017
Escopo: Municípios do Estado - PA
Tabela: Receitas Orçamentárias (Anexo I-C)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"Total Receitas";82360242,99
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.0.0.0.00.00.00 - Receitas Correntes";82360242,99
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.0.0.00.00.00 - Receita Tributária";2464053,87
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.0.00.00.00 - Impostos";2297511,75
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda";1472624,88
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR";1337184,59
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho";1155140,04
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos";182044,55
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.2.08.00.00 - Imposto sobre Transmissão "Inter Vivos" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";135440,29
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação";824886,87
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN";824886,87
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.2.0.00.00.00 - Taxas";166542,12
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia";131993,4
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços";34548,72
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.1.2.2.99.00.00 - Outras Taxas pela Prestação de Serviços";34548,72
Prefeitura Municipal de Goianésia do Pará - PA;1503093;PA;38677;"Receitas Brutas Realizadas";"1.2.0.0.00.00.00 - Receitas de Contribuições";832327,48
