Exercício: 2014
Escopo: Municípios do Estado - PA
Tabela: Receitas Orçamentárias (Anexo I-C)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"Total Receitas";131352030,85
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.0.0.0.00.00.00 - Receitas Correntes";131219030,85
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.0.0.00.00.00 - Receita Tributária";6043889,89
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.0.00.00.00 - Impostos";5893197,27
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda";1108676,55
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU";42496,11
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR";909550,84
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho";909550,84
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.2.08.00.00 - Imposto sobre Transmissão "Inter Vivos" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";156629,6
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação";4784520,72
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN";4784520,72
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.2.0.00.00.00 - Taxas";138966,81
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia";130188,78
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços";8778,03
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.1.3.0.00.00.00 - Contribuição de Melhoria";11725,81
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.2.0.0.00.00.00 - Receitas de Contribuições";373553,77
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.2.2.0.00.00.00 - Contribuições de Intervenção no Domínio Econômico";373553,77
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.3.0.0.00.00.00 - Receita Patrimonial";560061,76
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.3.2.0.00.00.00 - Receitas de Valores Mobiliários";551310,13
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários";551310,13
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.3.9.0.00.00.00 - Outras Receitas Patrimoniais";8751,63
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.6.0.0.00.00.00 - Receita de Serviços";9597,00
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.6.0.0.03.00.00 - Serviços de Transporte";5861,62
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.6.0.0.13.00.00 - Serviços Administrativos";1150,9
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.6.0.0.99.00.00 - Demais Receitas de Serviços";2584,48
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.7.0.0.00.00.00 - Transferências Correntes";124172151,53
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.7.2.0.00.00.00 - Transferências Intergovernamentais";122859797,55
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.7.2.1.00.00.00 - Transferências da União";47902094,13
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.7.2.1.01.00.00 - Participação na Receita da União";24756942,00
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM";24330660,75
Prefeitura Municipal de Moju - PA;1504703;PA;76096;"Receitas Brutas Realizadas";"1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR";426281,25
